id;label;count;avg_rating;norm_avg_rating;avg_weight;norm_avg_weight;weighted_avg_rating;norm_weighted_avg_rating;weighted_avg_weight;norm_weighted_avg_weight
47;Movies / TV / Radio theme;783;5.693429833971905;-1.936216518659603;1.6758288633461054;-0.854492161488181;6.939727221360128;-0.4269837479308991;2.1703675519337935;-0.40738213739162477
48;Vietnam War;45;7.050628666666666;1.333637766830868;2.875;1.5355069610588077;7.5178857008947615;1.1423439259571841;3.365609939498704;1.7261162285273783
49;Animals;911;6.080407672886937;-1.0038836028894462;1.4567212952799125;-1.2911828717756373;6.964674243715971;-0.35926865950801173;2.1182493127730866;-0.5004127889488222
50;Arabian;69;6.206002173913043;-0.7012929230854866;1.9510608695652178;-0.3059430568157409;7.127606228215284;0.08298667581472956;2.2386160335114846;-0.28555912857154164
51;Memory;420;5.850577238095237;-1.5576064724026981;1.3281711904761906;-1.5473887028645261;6.479506342383338;-1.6761868419695989;1.491216202754175;-1.6196620136420081
52;Humor;959;6.045202533889465;-1.0887021805724286;1.4887172054223161;-1.2274136608364752;6.577623957412194;-1.4098607497109161;1.6533068340163986;-1.330331497483458
53;Medical;59;6.489840847457628;-0.01744978918380377;1.9473084745762712;-0.3134217397634115;7.77428992462934;1.8383161520021045;2.4296887484774667;0.05550418159280923
54;Religious;95;6.370338947368423;-0.30536176694102424;2.2682536842105265;0.3262357252685529;7.235242680474396;0.3751502766760738;2.716271482839927;0.567052133559752
55;American Civil War;154;6.798776493506491;0.7268586509936087;2.8238175324675323;1.4334981244938116;7.161973243771373;0.17627097499948466;2.8832109238814643;0.865037737463219
56;Post-Napoleonic;66;6.86765893939394;0.8928148509653758;2.597745454545455;0.9829268495932177;7.358097016715118;0.7086206252817056;2.6487823032861013;0.4465844729468692
57;Print & Play;454;6.646580374449342;0.3601775721822464;1.9268958149779742;-0.3541050392838708;6.733056866518971;-0.9879605712502733;1.8562303772170883;-0.968114551088847
58;Educational;376;6.069424893617024;-1.03034404994938;1.5549473404255323;-1.0954141824421406;6.723993537583751;-1.0125616683872374;1.7376771957258283;-1.1797310580146156
59;Environmental;115;6.5567746086956555;0.14381150927575992;2.3455686956521737;0.4803278342738243;7.677935903090566;1.5767770795095273;2.9654867349092457;1.0118994202554883
60;Travel;151;6.408901721854307;-0.21245374906223952;1.8832569536423833;-0.4410791475767343;7.322519409242117;0.6120503492164853;2.094645791148396;-0.542544891474743
61;Trivia;480;5.505275625000004;-2.3895302349102043;1.3503852083333343;-1.5031152196526467;6.088405610561675;-2.7377732814172138;1.3994269829392396;-1.7835050571297124
62;Music;64;5.89361875;-1.4539079805049895;1.6243546875;-0.9570823851399102;6.131374204848754;-2.621141239322009;1.8522004767580451;-0.9753078920660703
63;Number;135;5.948317333333335;-1.3221244917381763;1.4394518518518515;-1.3256016076660868;6.576953221464647;-1.4116813655482972;1.4671745586238116;-1.6625761614330987
64;World War I;164;7.020295121951217;1.2605561602213256;2.739403658536586;1.2652576803577862;7.066005793336845;-0.08421880607336352;2.6285729092805012;0.41051086182351915
65;Farming;163;6.6625595705521485;0.3986757211614284;2.1912036809815953;0.17267178891228824;7.577538379750664;1.3042625054883161;2.9878474409057785;1.051813106551028
66;Civil War;79;6.863315569620255;0.882350513739448;2.747631645569621;1.281656408769607;7.413332856830957;0.8585503340944444;2.9049877791311407;0.9039092547164641
67;Pike and Shot;40;6.89833425;0.9667198628381158;3.0256599999999993;1.8357787544640998;7.247142105655686;0.40744954738017186;3.4386326699834164;1.8564612345152267
68;Mafia;106;6.389617641509435;-0.2589142464030913;1.9047367924528296;-0.3982689144579946;6.7234519032050715;-1.0140318566655016;1.8830617329470634;-0.9202207897891671
69;Comic Book / Strip;219;6.275642283105023;-0.5335113099586242;1.7387287671232876;-0.7291299756910555;6.798825104709894;-0.809442189337142;2.118823037011415;-0.4993886956454916
70;Industry / Manufacturing;204;6.8080087254901995;0.7491015623411172;2.7369279411764715;1.2603234702709272;7.570682785807035;1.2856539860641323;3.3300831292276434;1.6627011484999346
71;Space Exploration;180;6.701349388888889;0.49213074828516057;2.5076605555555553;0.8033838111063477;7.471806546273684;1.017268717176314;3.0395214340198313;1.1440507823700297
72;Korean War;13;7.127235384615385;1.51820380015453;3.0024384615384623;1.789497239798789;7.507256131855309;1.1134914963110014;3.7529664705882357;2.4175446238934932
73;Spies/Secret Agents;136;6.519401397058826;0.053769465848278145;1.9531897058823535;-0.30170019541382503;7.364119910156965;0.7249688994828867;2.1757747555899716;-0.3977303209193607
74;Collectible Components;347;6.200191757925068;-0.7152917662623843;2.183885878962536;0.15808709797874398;7.231420225159317;0.36477477390219226;2.744496171841769;0.6174329839131971
75;American Revolutionary War;52;7.265052115384618;1.8502410940735818;2.6201269230769224;1.0275340691271877;7.515422788881236;1.1356587070803668;2.744500517464425;0.6174407408158402
76;Video Game Theme;216;6.377367777777778;-0.2884274381733078;2.0225074074074074;-0.16354706550767353;6.987650311279017;-0.29690344315274414;2.859660673765057;0.8230007241652697
77;American Indian Wars;24;7.131474166666667;1.5284161576380135;2.442154166666667;0.6728267895268238;7.555999183391507;1.2457974684504742;2.9824902943516314;1.042250641616575
78;Mythology;258;6.697631124031007;0.48317245567007483;2.201223643410853;0.1926420005709031;7.374893351188617;0.7542118488686345;2.638433415129065;0.42811178807405587
79;Game System;44;7.016447499999999;1.2512862118371548;2.032518181818182;-0.14359516596101832;7.034287059074128;-0.1703147282489754;2.266136451612903;-0.23643539629795274
80;Mature / Adult;105;5.889890190476194;-1.4628910757183968;1.4501457142857141;-1.3042882846112254;7.036600461933907;-0.16403533037241783;2.1940628156347284;-0.3650862759731231
81;Math;102;5.801663235294116;-1.6754533625021901;1.5202166666666668;-1.1646338936843332;5.9732774330138145;-3.0502720883456953;1.510866304347826;-1.5845867351241434
82;Zombies;178;6.462341235955056;-0.0837036941790425;1.9322544943820221;-0.34342496311941134;6.908779613881414;-0.5109865578456885;2.185462303185646;-0.38043812380506464
83;Expansion for Base-game;24;7.2907158333333335;1.9120718414148585;2.4090708333333333;0.6068902978779106;7.421707427863596;0.8812818974004779;2.795836426914154;0.709074939923437
84;Fan Expansion;1;6.67778;0.4353457987198111;1.75;-0.7066659287656664;6.67778;-1.1380016403077782;1.75;-1.1577349482246613
